Code,Product Name,Price
— 356313 CRACKERS 1.24 H,CRACKERS,1.24
— 225532 FROZEN BERRIES 11.65 £,FROZEN BERRIES,11.65
— 423659 FROZEN YOGURT 8.93 A,FROZEN YOGURT,8.93
— 984116 GRANOLA 4.49 A,GRANOLA,4.49
— 719609 GROUND TURKEY 2.44 F,GROUND TURKEY,2.44
— 666973 BROWN RICE CAKES 4.13 A,BROWN RICE CAKES,4.13
— 555097 SLICED PEPPERS 2.57 F,SLICED PEPPERS,2.57
— 846345 CHOPPED ONIONS 5.63 N,CHOPPED ONIONS,5.63
— 241702 ALMOND BUTTER 1.44 F,ALMOND BUTTER,1.44
— 780906 ALMOND BUTTER 8.69 £,ALMOND BUTTER,8.69
— 687660 PEAR SAUCE 5.01 N,PEAR SAUCE,5.01
— 342347 STRAWBERRY JAM 3.60 H,STRAWBERRY JAM,3.60
— 531576 GROUND BEEF 9.37 A,GROUND BEEF,9.37
— 980804 FRENCH FRIES 5.04 F,FRENCH FRIES,5.04
— 860572 FROZEN CARROTS 5.46 A,FROZEN CARROTS,5.46
— 217788 FRENCH FRIES 2.43 A,FRENCH FRIES,2.43
— 915397 SWEET CORN 7.33 —,SWEET CORN,7.33
— 382810 SLICED PEPPERS 6.36 N,SLICED PEPPERS,6.36
— 648698 FROZEN BERRIES 7.53 F,FROZEN BERRIES,7.53
— 598434 SLICED JALAPENOS 10.32 A,SLICED JALAPENOS,10.32
— 914582 SLICED MUSHROOMS 4.04 A,SLICED MUSHROOMS,4.04
— 956703 SLICED SWISS CHEESE 9.70 N,SLICED SWISS CHEESE,9.70
— 733752 WHOLE CHICKEN 3.48 E,WHOLE CHICKEN,3.48
— 346889 FRUIT SNACKS 3.52 A,FRUIT SNACKS,3.52
— 142025 SLICED APPLES 2.91 H,SLICED APPLES,2.91
— 651283 OAT BRAN 12.58 £,OAT BRAN,12.58
— 552703 ORGANIC MILK 11.43 F,ORGANIC MILK,11.43
— 574611 GREEN BEANS 6.38 £,GREEN BEANS,6.38
— 667799 FRUIT JUICE 7.34 H,FRUIT JUICE,7.34
— 777115 DRIED PINEAPPLE 10.89 H,DRIED PINEAPPLE,10.89
— 826100 SLICED APPLES 7.17 N,SLICED APPLES,7.17
— 271808 DRIED FRUIT 2.38 H,DRIED FRUIT,2.38
— 548009 FROZEN YOGURT 2.22 H,FROZEN YOGURT,2.22
— 614421 SWEET CORN 1.19 A,SWEET CORN,1.19
— 211547 GARLIC CLUMPS 9.56 E,GARLIC CLUMPS,9.56
— 428086 WHOLE WHEAT BREAD 2.15 £,WHOLE WHEAT BREAD,2.15
— 571165 SMOKED SALMON 5.93 £,SMOKED SALMON,5.93
— 354979 SLICED MUSHROOMS 7.23 E,SLICED MUSHROOMS,7.23
— 532404 MUSHROOMS 1.72 N,MUSHROOMS,1.72
— 870423 CINNAMON ROLLS 3.82 F,CINNAMON ROLLS,3.82
— 525238 DRIED PINEAPPLE 6.07 A,DRIED PINEAPPLE,6.07
— 497139 BEEF TACOS 4.61 H,BEEF TACOS,4.61
— 559692 SWEET CORN 12.96 N,SWEET CORN,12.96
— 845317 COFFEE BEANS 3.01 —,COFFEE BEANS,3.01
— 470753 SLICED JALAPENOS 11.68 £,SLICED JALAPENOS,11.68
— 366927 SWEET CORN 3.13 A,SWEET CORN,3.13
— 809608 SLICED CHEESE 1.47 E,SLICED CHEESE,1.47
— 988375 BEEF BURGERS 12.77 A,BEEF BURGERS,12.77
— 483332 SLICED SWISS CHEESE 5.68 F,SLICED SWISS CHEESE,5.68
— 603624 WHOLE GRAIN CEREAL 2.13 —,WHOLE GRAIN CEREAL,2.13
— 432210 DRIED FRUIT 8.01 N,DRIED FRUIT,8.01
— 524835 FROZEN CHICKEN 2.90 F,FROZEN CHICKEN,2.90
— 724117 RED GRAPES 4.23 £,RED GRAPES,4.23
— 662942 APPLE JUICE 11.74 F,APPLE JUICE,11.74
— 667847 GRANOLA 1.10 F,GRANOLA,1.10
— 861668 MANGO CHUNKS 12.56 N,MANGO CHUNKS,12.56
— 774875 CORN CHIPS 2.69 H,CORN CHIPS,2.69
— 834235 BEEF BURGERS 5.76 H,BEEF BURGERS,5.76
— 633163 MUSHROOMS 6.38 E,MUSHROOMS,6.38
— 839397 SLICED APPLES 2.55 N,SLICED APPLES,2.55
— 412043 SLICED CHEESE 5.14 E,SLICED CHEESE,5.14
— 128275 SWEET CORN 3.26 A,SWEET CORN,3.26
— 714185 BAKING SODA 12.11 E,BAKING SODA,12.11
— 908912 STRAWBERRY JAM 10.60 —,STRAWBERRY JAM,10.60
— 281014 MANGOES 2.94 F,MANGOES,2.94
— 235458 FROZEN BERRIES 7.41 E,FROZEN BERRIES,7.41
— 207096 SMOKED SALMON 4.85 H,SMOKED SALMON,4.85
— 496683 GARLIC CLUMPS 7.64 N,GARLIC CLUMPS,7.64
— 824333 CORN CHIPS 11.80 A,CORN CHIPS,11.80
— 467987 SWEET CORN 9.91 H,SWEET CORN,9.91
— 545124 APPLE JUICE 7.57 E,APPLE JUICE,7.57
— 228286 FRENCH FRIES 11.02 A,FRENCH FRIES,11.02
— 200910 APPLE JUICE 9.87 E,APPLE JUICE,9.87
— 700857 SLICED APPLES 2.38 F,SLICED APPLES,2.38
— 486309 FROZEN BERRIES 3.60 E,FROZEN BERRIES,3.60
— 868661 OREGANO 1.21 A,OREGANO,1.21
— 148736 BEEF TACOS 3.06 A,BEEF TACOS,3.06
— 660914 SLICED CHICKEN 5.20 —,SLICED CHICKEN,5.20
— 418030 MULTIGRAIN BREAD 3.40 E,MULTIGRAIN BREAD,3.40
— 541323 SLICED SWISS CHEESE 6.81 N,SLICED SWISS CHEESE,6.81
— 171922 OREGANO 4.97 F,OREGANO,4.97
