i,o
AMZN MKTP US*12345 $112.85 02/26,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $227.98 10/03,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $328.54 08/09,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $210.2 02/09,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $434.21 11/14,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $331.59 08/10,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $152.8 12/21,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $143.35 09/20,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $294.31 07/14,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $128.33 02/13,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $363.81 10/13,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $477.13 03/09,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $206.41 04/22,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $427.53 09/27,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $346.32 02/19,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $278.91 01/23,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $268.22 08/19,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $441.72 01/31,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $111.19 07/23,"('Amazon', 'Retail')"
AMZN MKTP US*12345 $47.06 06/29,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $12.25 05/11,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $184.89 12/20,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $64.07 11/23,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $116.21 01/15,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $351.54 11/26,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $399.82 11/12,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $57.79 05/16,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $43.91 10/20,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $5.57 01/19,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $298.72 01/02,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $461.11 11/09,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $291.4 12/24,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $420.7 02/03,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $305.59 02/05,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $324.59 07/27,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $102.38 09/27,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $343.21 11/09,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $13.92 12/08,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $401.64 08/31,"('Amazon', 'Retail')"
AMAZON.COM*BOOK $496.51 06/22,"('Amazon', 'Retail')"
APPLE.COM/BILL $36.92 11/11,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $109.41 11/11,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $341.1 12/09,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $374.97 05/20,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $221.85 10/01,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $328.71 01/30,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $354.79 10/18,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $193.22 05/18,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $176.48 07/28,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $273.58 05/03,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $447.83 01/03,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $170.19 03/30,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $289.12 06/20,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $482.88 10/16,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $372.9 12/08,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $412.24 12/04,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $349.77 02/01,"('Apple/iTunes', 'Subscription')"
APPLE.COM/BILL $379.91 03/21,"('Apple/iTunes', 'Subscription')"
